id,source,timestamp,url,language,title,original_length,cleaned_length,cleaned_text
mas_banking_regulation_49308466,government_mas,2025-09-21T17:19:25+08:00,https://www.mas.gov.sg/regulation/explainers/tdsr-for-property-loans,en,,1255,212,Published Date: 05 July 2018 Total Debt Servicing Ratio for Property Loans Financial institutions (FIs) must compute the total debt servicing ratio (TDSR) of borrowers who apply for property loans. Property Loans
mas_banking_regulation_95036105,government_mas,2025-09-21T17:19:27+08:00,https://www.mas.gov.sg/regulation/explainers/new-housing-loans,en,,2405,0,
mas_banking_regulation_64186873,government_mas,2025-09-21T17:19:28+08:00,https://www.mas.gov.sg/regulation/guidelines/guidelines-on-the-application-of-tdsr-for-property-loans,en,,2682,260,"Published Date: 15 December 2021 on the Application of Total Debt Servicing Ratio for Property Loans under MAS Notices 645, 1115, 831 and 128 for all financial institutions on how to apply the total debt servicing ratio (TDSR) to property loans. Property Loans"
mas_banking_regulation_63160914,government_mas,2025-09-21T17:19:30+08:00,https://www.mas.gov.sg/regulation/circulars/borrowers-who-are-individuals-and-who-own-residential-property-gazetted-for-acquisition-august-2014,en,,1317,299,Published Date: 04 September 2014 Borrowers Who are Individuals and Who Own Residential Property Gazetted for Acquisition (August 2014) Explains the application of MAS Notices on Housing Loans to borrowers who are individuals and who own residential property gazetted for acquisition. Property Loans
mas_banking_regulation_92940957,government_mas,2025-09-21T17:19:32+08:00,https://www.mas.gov.sg/regulation/circulars/borrowers-who-are-individuals-and-who-own-residential-property-gazetted-for-acquisition-amended-from-circular-dated-22-july-2013,en,,1375,328,Published Date: 03 September 2013 Borrowers Who are Individuals and Who Own Residential Property Gazetted for Acquisition (Amended from Circular dated 22 July 2013) Explains the application of MAS Notices on Housing Loans to borrowers who are individuals and who own residential property gazetted for acquisition. Property Loans
mas_banking_regulation_20661338,government_mas,2025-09-21T17:19:33+08:00,https://www.mas.gov.sg/publications/monographs-or-information-paper/2013/thematic-inspection-of-residential-property-loans-business,en,,1560,382,"/Information Papers Published Date: 28 June 2013 Thematic Inspection of Residential Property Loans Business Information paper on underwriting and lending practices of banks’ residential property loans business, including areas where underwriting and lending practices could be improved and sound practices observed during MAS’ thematic inspection in 2012. Property Loans Credit Risk"
mas_banking_regulation_49308466,government_mas,2025-09-21T17:19:36+08:00,https://www.mas.gov.sg/regulation/explainers/tdsr-for-property-loans,en,,1255,212,Published Date: 05 July 2018 Total Debt Servicing Ratio for Property Loans Financial institutions (FIs) must compute the total debt servicing ratio (TDSR) of borrowers who apply for property loans. Property Loans
mas_banking_regulation_95036105,government_mas,2025-09-21T17:19:37+08:00,https://www.mas.gov.sg/regulation/explainers/new-housing-loans,en,,2405,0,
mas_banking_regulation_64186873,government_mas,2025-09-21T17:19:38+08:00,https://www.mas.gov.sg/regulation/guidelines/guidelines-on-the-application-of-tdsr-for-property-loans,en,,2682,260,"Published Date: 15 December 2021 on the Application of Total Debt Servicing Ratio for Property Loans under MAS Notices 645, 1115, 831 and 128 for all financial institutions on how to apply the total debt servicing ratio (TDSR) to property loans. Property Loans"
mas_banking_regulation_63160914,government_mas,2025-09-21T17:19:40+08:00,https://www.mas.gov.sg/regulation/circulars/borrowers-who-are-individuals-and-who-own-residential-property-gazetted-for-acquisition-august-2014,en,,1317,299,Published Date: 04 September 2014 Borrowers Who are Individuals and Who Own Residential Property Gazetted for Acquisition (August 2014) Explains the application of MAS Notices on Housing Loans to borrowers who are individuals and who own residential property gazetted for acquisition. Property Loans
